Comune,Provincia,Nome,Longitudine,Latitudine,url
MACERATA FELTRIA,PESARO E URBINO,Torre di cerignano,12.48869,43.8255671,www.regione.marche.it/Regione-Utile/Cultura/Catalogo-beni-culturali/RicercaCatalogoBeni/ids/69172
MONTE PORZIO,PESARO E URBINO,Castello Barberini,13.0564193,43.6977659,www.regione.marche.it/Regione-Utile/Cultura/Catalogo-beni-culturali/RicercaCatalogoBeni/ids/82598
PIOBBICO,PESARO E URBINO,Castello dei Pecorari,12.4937611,43.6094707999999,www.lavalledelmetauro.it/contenuti/beni-storici-artistici/scheda/11122.html
SASSOCORVARO,PESARO E URBINO,Rocca di Sassocorvaro,12.495792,43.7809084,www.beniculturalionline.it/location-2380_Rocca-di-Sassocorvaro.php
AGUGLIANO,ANCONA,Castel d'Emilio,13.3836409,43.5636203999999,www.raccontidimarche.it/2017/02/castel-demilio
ARCEVIA,ANCONA,I nove castelli di Acervia,12.9391181999999,43.4972955,www.destinazionemarche.it/alla-scoperta-dei-nove-castelli-di-arcevia-nelle-marche/
CAMERATA PICENA,ANCONA,Castello del Cassero,13.3866096999999,43.5825729999999,www.luoghidelsilenzio.it/marche/07_castelli/01_ancona/00007/index.htm
SERRA SAN QUIRICO,ANCONA,Rotoscio de Castella,13.0605319,43.4210928999999,www.regione.marche.it/Regione-Utile/Cultura/Catalogo-beni-culturali/RicercaCatalogoBeni/ids/65710
COLMURANO,MACERATA,La rocca,13.3565257,43.1638287,www.luoghidelsilenzio.it/marche/07_castelli/03_macerata/00013/index.htm
POGGIO SAN VICINO,MACERATA,Torre civica,13.0776841,43.3759956999999,turismo.comune.poggiosanvicino.mc.it/monumenti-cms/torre-civica-4/
SAN SEVERINO MARCHE,MACERATA,Castello di Pitino,13.2365482,43.2797808999999,www.raccontidimarche.it/2016/04/castello-pitino/
ACQUAVIVA PICENA,ASCOLI PICENO,Fortezza medioevale,13.8115939999999,42.9444147,www.regione.marche.it/Regione-Utile/Cultura/Ricerca-Musei/Id/325/ACQUAVIVA-PICENA-Fortezza-Medievale-di-Acquaviva-Picena
CUPRA MARITTIMA,ASCOLI PICENO,Castello di Sant'Andrea,13.8597634,43.0164203,www.terredelpiceno.it/monumenti/castello-santandrea-cupra-marittima/
GROTTAMMARE,ASCOLI PICENO,Castello di Grottamare,13.8651231,42.9955713,www.luoghidelsilenzio.it/marche/07_castelli/05_ascoli/00031/index.htm
SAN BENEDETTO DEL TRONTO,ASCOLI PICENO,Torre Guelfa,13.8880437,42.9142851,www.regione.marche.it/Regione-Utile/Cultura/Catalogo-beni-culturali/RicercaCatalogoBeni/ids/66458
